"threat_list_name","dest_ip"
"AlienVault_IP_Blocklist","109.92.120.60"
"AlienVault_IP_Blocklist","79.176.44.240"
"AlienVault_IP_Blocklist","81.213.153.229"
"AlienVault_IP_Blocklist","79.25.228.99"
